,ARTICLE1,ARTICLE2,ARTICLE3,ARTICLE4,ARTICLE5,ARTICLE6,ARTICLE7,ARTICLE8,ARTICLE9,ARTICLE10
ARTICLE1,0,0.048554522,0.04637807,0.079601354,0.036936228,0.059442738,0.060526617,0.082507251,0.084976119,0.078938967
ARTICLE2,0.048554522,0,0.167671427,0.104164289,0.080114674,0.115992329,0.117561977,0.13176127,0.090340511,0.112289108
ARTICLE3,0.04637807,0.167671427,0,0.045964126,0.057082063,0.107723015,0.044252574,0.060004013,0.069395705,0.074483166
ARTICLE4,0.079601354,0.104164289,0.045964126,0,0.089488622,0.075299914,0.058241238,0.107978828,0.064051262,0.10298202
ARTICLE5,0.036936228,0.080114674,0.057082063,0.089488622,0,0.033189556,0.030068816,0.056264851,0.01763649,0.112283474
ARTICLE6,0.059442738,0.115992329,0.107723015,0.075299914,0.033189556,0,0.049092092,0.089265177,0.105819255,0.07678708
ARTICLE7,0.060526617,0.117561977,0.044252574,0.058241238,0.030068816,0.049092092,0,0.065674392,0.147423516,0.068250831
ARTICLE8,0.082507251,0.13176127,0.060004013,0.107978828,0.056264851,0.089265177,0.065674392,0,0.089954116,0.065622326
ARTICLE9,0.084976119,0.090340511,0.069395705,0.064051262,0.01763649,0.105819255,0.147423516,0.089954116,0,0.04549054
ARTICLE10,0.078938967,0.112289108,0.074483166,0.10298202,0.112283474,0.07678708,0.068250831,0.065622326,0.04549054,0
