,ARTICLE1,ARTICLE2,ARTICLE3,ARTICLE4,ARTICLE5,ARTICLE6,ARTICLE7,ARTICLE8,ARTICLE9,ARTICLE10
ARTICLE1,0,0.971563981,0.964835165,0.971602434,0.974806202,0.940774487,0.965517241,0.949329359,0.96559633,0.956521739
ARTICLE2,0.971563981,0,0.93020595,0.953663793,0.972049689,0.937070938,0.943396226,0.939201452,0.948275862,0.949944383
ARTICLE3,0.964835165,0.93020595,0,0.963898917,0.970639033,0.95890411,0.96749226,0.945355191,0.951417004,0.935797665
ARTICLE4,0.971602434,0.953663793,0.963898917,0,0.950166113,0.955882353,0.963126844,0.93544137,0.948766603,0.938069217
ARTICLE5,0.974806202,0.972049689,0.970639033,0.950166113,0,0.968531469,0.980309423,0.95859473,0.985915493,0.934859155
ARTICLE6,0.940774487,0.937070938,0.95890411,0.955882353,0.968531469,0,0.963949843,0.946354883,0.948665298,0.939215686
ARTICLE7,0.965517241,0.943396226,0.96749226,0.963126844,0.980309423,0.963949843,0,0.944964871,0.946254072,0.958397535
ARTICLE8,0.949329359,0.939201452,0.945355191,0.93544137,0.95859473,0.946354883,0.944964871,0,0.94233474,0.944594595
ARTICLE9,0.96559633,0.948275862,0.951417004,0.948766603,0.985915493,0.948665298,0.946254072,0.94233474,0,0.956435644
ARTICLE10,0.956521739,0.949944383,0.935797665,0.938069217,0.934859155,0.939215686,0.958397535,0.944594595,0.956435644,0
